Order ID,Order Date,Customer ID,Age,Gender,Segment,Region,City,Product Category,Sub-Category,Product Name,Unit Price,Quantity,Discount,Sales,Profit
ORD-025243,2024-08-29,CUST-01643,18.0,Female,Corporate,North,Springfield,Beauty & Personal Care,Skincare,Skincare - Model A,102.99,1,0.0,102.99,44.33
ORD-001792,2023-03-01,CUST-00679,43.0,Female,Consumer,West,Marion,Apparel,Men's Shirts,Men's Shirts - Model D,166.44,1,0.0,166.44,43.18
ORD-012385,2023-11-22,CUST-00097,20.0,Male,Consumer,East,Salem,Home & Kitchen,Cookware,Cookware - Model A,163.44,1,0.0,163.44,61.61
ORD-011611,2023-11-08,CUST-00410,21.0,Male,Corporate,South,Madison,Electronics,Tablets,Tablets - Model B,1025.7,2,0.0,2051.4,884.35
ORD-032976,2025-01-08,CUST-01527,53.0,Male,Corporate,West,Fairfax,Home & Kitchen,Storage,Storage - Model B,16.79,1,0.05,15.95,6.37
ORD-008334,2023-08-21,CUST-00935,42.0,Male,Consumer,North,Springfield,Beauty & Personal Care,Grooming,Grooming - Model A,12.62,2,0.0,25.24,6.73
ORD-031528,2024-12-15,CUST-00548,24.0,Male,Small Business,North,Fairview,Home & Kitchen,Bedding,Bedding - Model C,151.3,1,0.0,151.3,53.82
ORD-024158,2024-08-05,CUST-02269,18.0,Female,Corporate,West,Ashland,Beauty & Personal Care,Fragrances,Fragrances - Model A,41.31,1,0.0,41.31,17.95
ORD-026360,2024-09-26,CUST-01450,30.0,Female,Consumer,East,Salem,Home & Kitchen,Cookware,Cookware - Model C,428.17,1,0.05,406.76,137.14
ORD-021352,2024-06-06,CUST-00687,48.0,Male,Corporate,Central,Franklin,Beauty & Personal Care,Haircare,Haircare - Model A,101.04,1,0.05,95.99,21.57
ORD-007897,2023-08-11,CUST-01829,26.0,Male,Small Business,South,Greenville,Home & Kitchen,Decor,Decor - Model B,14.58,1,0.0,14.58,5.04
ORD-020552,2024-05-18,CUST-01354,42.0,Male,Consumer,Central,Dover,Electronics,Tablets,Tablets - Model A,393.2,2,0.0,786.4,228.34
ORD-033305,2025-01-17,CUST-00887,,Female,Consumer,West,Fairfax,Home & Kitchen,Furniture,Furniture - Model C,288.33,1,0.0,288.33,83.62
ORD-007177,2023-07-23,CUST-01147,44.0,Male,Consumer,Central,Franklin,Apparel,Footwear,Footwear - Model B,96.24,2,0.0,192.48,69.88
ORD-028517,2024-11-08,CUST-01650,28.0,Male,Consumer,East,Clinton,Apparel,Jackets,Jackets - Model B,88.68,3,0.0,266.04,87.22
ORD-023160,2024-07-14,CUST-01997,41.0,Female,Consumer,South,Greenville,Groceries,Household Supplies,Household Supplies - Model A,29.38,3,0.05,83.73,27.17
ORD-030885,2024-12-07,CUST-00981,44.0,Female,Small Business,West,Marion,Groceries,Household Supplies,Household Supplies - Model B,46.86,1,0.0,46.86,13.2
ORD-030467,2024-12-03,CUST-00324,47.0,Female,Corporate,Central,Franklin,Sports & Outdoors,Fitness Equipment,Fitness Equipment - Model C,486.69,1,0.0,486.69,182.34
ORD-004186,2023-05-07,CUST-00407,36.0,Female,Consumer,East,Salem,Beauty & Personal Care,Grooming,Grooming - Model B,115.87,2,0.05,220.15,60.77
ORD-008340,2023-08-22,CUST-01220,55.0,Male,Corporate,West,Ashland,Apparel,Men's Shirts,Men's Shirts - Model D,158.89,2,0.2,254.22,51.51
ORD-029503,2024-11-24,CUST-02465,28.0,Male,Consumer,East,Clinton,Groceries,Household Supplies,Household Supplies - Model C,16.06,1,0.0,16.06,5.37
ORD-029999,2024-11-29,CUST-01202,31.0,Female,Consumer,Central,Chester,Beauty & Personal Care,Haircare,Haircare - Model C,56.56,2,0.0,113.12,41.08
ORD-028094,2024-11-01,CUST-00552,45.0,Male,Consumer,West,Ashland,Electronics,Smartwatches,Smartwatches - Model A,422.96,2,0.0,845.92,360.29
ORD-029425,2024-11-23,CUST-00683,54.0,Female,Small Business,North,Springfield,Sports & Outdoors,Yoga,Yoga - Model B,144.58,2,0.0,289.16,121.99
ORD-019977,2024-05-05,CUST-02009,53.0,Female,Consumer,Central,Dover,Beauty & Personal Care,Haircare,Haircare - Model D,57.86,1,0.0,57.86,17.55
ORD-028012,2024-10-30,CUST-00657,26.0,Male,Small Business,North,Springfield,Electronics,Cameras,Cameras - Model C,325.34,1,0.15,276.54,39.92
ORD-020696,2024-05-21,CUST-01370,50.0,Male,Consumer,North,Fairview,Electronics,Smartphones,Smartphones - Model C,179.43,3,0.0,538.29,216.57
ORD-006757,2023-07-13,CUST-01917,29.0,Male,Consumer,East,Clinton,Groceries,Snacks,Snacks - Model B,9.51,2,0.1,17.12,4.88
ORD-007729,2023-08-06,CUST-01993,41.0,Male,Consumer,South,Greenville,Electronics,Smartphones,Smartphones - Model B,548.43,4,0.2,1754.98,489.01
ORD-018563,2024-04-01,CUST-01311,22.0,Male,Consumer,North,Fairview,Beauty & Personal Care,Makeup,Makeup - Model B,80.41,2,0.0,160.82,72.29
ORD-015098,2023-12-29,CUST-01020,46.0,Female,Consumer,North,Riverton,Sports & Outdoors,Cycling,Cycling - Model C,336.97,1,0.0,336.97,115.68
ORD-028076,2024-11-01,CUST-00771,60.0,Female,Corporate,West,Fairfax,Beauty & Personal Care,Haircare,Haircare - Model D,43.21,2,0.0,86.42,36.73
